Model,metric,mean,std,n,formatted
A3Net,MAP,0.18992083516211072,0.026233151560863897,10,0.1899 +/- 0.0262
A3Net,auc_all,0.9065850468067838,0.004730203921388301,10,0.9066 +/- 0.0047
A3Net,aupr_all,0.07558678562979175,0.008839511109540843,10,0.0756 +/- 0.0088
A3Net,drugAUC,0.8976519522967331,0.006316954048916045,10,0.8977 +/- 0.0063
A3Net,drugAUPR,0.18992083516211072,0.026233151560863897,10,0.1899 +/- 0.0262
A3Net,nDCG,0.3943926091728094,0.047258356044053665,10,0.3944 +/- 0.0473
A3Net,P1,0.18597419738549242,0.043139624892498514,10,0.1860 +/- 0.0431
A3Net,P5,0.14863292908186945,0.022827382235722983,10,0.1486 +/- 0.0228
A3Net,P10,0.1247041194709283,0.01225962075827582,10,0.1247 +/- 0.0123
A3Net,P15,0.10810137833949311,0.008446882932332674,10,0.1081 +/- 0.0084
A3Net,R1,0.05222778279147476,0.014180196196715629,10,0.0522 +/- 0.0142
A3Net,R5,0.19358089047382515,0.03235828222012017,10,0.1936 +/- 0.0324
A3Net,R10,0.30211066199214376,0.03304538831583125,10,0.3021 +/- 0.0330
A3Net,R15,0.3781729678990627,0.03224110113776359,10,0.3782 +/- 0.0322
A3Net,spearman,0.5137760408841706,0.01443738821192637,10,0.5138 +/- 0.0144
A3Net,rMSE,1.22498866759874,0.04893843801026362,10,1.2250 +/- 0.0489
A3Net,MAE,0.89716879,0.04443305142624451,10,0.8972 +/- 0.0444
CAFNet,MAP,0.20609438636792676,0.01692986171810621,10,0.2061 +/- 0.0169
CAFNet,auc_all,0.9105972873798033,0.003190528000343014,10,0.9106 +/- 0.0032
CAFNet,aupr_all,0.08446657240370102,0.005994488296927388,10,0.0845 +/- 0.0060
CAFNet,drugAUC,0.9013547550398027,0.003267716703420606,10,0.9014 +/- 0.0033
CAFNet,drugAUPR,0.20622264856438366,0.01674671587064093,10,0.2062 +/- 0.0167
CAFNet,nDCG,0.42498829543149236,0.022129801570292686,10,0.4250 +/- 0.0221
CAFNet,P1,0.21458211614222905,0.03007375364863532,10,0.2146 +/- 0.0301
CAFNet,P5,0.163482793814684,0.013762212305657991,10,0.1635 +/- 0.0138
