metric_label,CAFNet,CAFNetV2_balanced,CAFNetV2_ranking,DSGAT
AUPR,0.2518 +/- 0.0304,0.2830 +/- 0.0357,0.2968 +/- 0.0321,0.2688 +/- 0.0339
AUROC,0.7960 +/- 0.0145,0.8144 +/- 0.0253,0.8261 +/- 0.0249,0.8220 +/- 0.0195
MAE,1.3939 +/- 0.0662,1.2734 +/- 0.1621,1.5007 +/- 0.1580,1.1433 +/- 0.1114
MAP,0.3391 +/- 0.0232,0.3917 +/- 0.0271,0.3988 +/- 0.0259,0.3890 +/- 0.0262
P1,0.5067 +/- 0.0836,0.6800 +/- 0.0609,0.6813 +/- 0.0608,0.6827 +/- 0.0640
P10,0.4749 +/- 0.0392,0.5360 +/- 0.0557,0.5615 +/- 0.0496,0.5528 +/- 0.0429
P15,0.4532 +/- 0.0371,0.5044 +/- 0.0466,0.5128 +/- 0.0419,0.4929 +/- 0.0467
P5,0.5021 +/- 0.0456,0.6056 +/- 0.0646,0.6301 +/- 0.0510,0.6224 +/- 0.0374
R1,0.0198 +/- 0.0039,0.0296 +/- 0.0056,0.0297 +/- 0.0056,0.0299 +/- 0.0053
R10,0.1671 +/- 0.0172,0.1930 +/- 0.0319,0.2042 +/- 0.0277,0.1996 +/- 0.0266
R15,0.2305 +/- 0.0189,0.2618 +/- 0.0276,0.2665 +/- 0.0242,0.2526 +/- 0.0275
R5,0.0928 +/- 0.0141,0.1185 +/- 0.0257,0.1228 +/- 0.0205,0.1202 +/- 0.0171
RMSE,1.7542 +/- 0.0753,1.5216 +/- 0.1547,1.7833 +/- 0.1448,1.4051 +/- 0.0957
drug-AUPR,0.3395 +/- 0.0235,0.3918 +/- 0.0271,0.3989 +/- 0.0259,0.3891 +/- 0.0263
drug-AUROC,0.8441 +/- 0.0129,0.8745 +/- 0.0092,0.8771 +/- 0.0101,0.8738 +/- 0.0105
nDCG,0.7206 +/- 0.0379,0.8050 +/- 0.0382,0.8110 +/- 0.0390,0.8136 +/- 0.0381
spearman,0.3858 +/- 0.0543,0.4305 +/- 0.0705,0.3952 +/- 0.0714,0.4378 +/- 0.0623
